Stock Symbol,change in value
JWN,-0.357133
NSC,-0.746105
NTRS,0.418178
NOC,-0.04982
NRG,-0.129763
NUE,-1.41
NVDA,-4.684091
ORLY,-3.230011
OXY,-0.365649
OMC,-0.56629
OKE,-0.563689
ORCL,-0.239062
OI,-0.33
PCAR,-0.468347
PH,-0.258835
PDCO,-0.109369
PAYX,-0.51609
PYPL,-0.489998
PNR,-0.437478
PBCT,-0.009911
PEP,-0.357545
PKI,-0.029959
PRGO,0.918037
PFE,-0.009902
PCG,-0.32
PM,-0.240005
PSX,-0.238109
PNW,-0.218124
PXD,-1.579987
PBI,-0.147911
PNC,0.856102
RL,-0.419998
PPG,-0.54783
PPL,-0.207744
PX,-0.218542
PCLN,-14.099975
PFG,0.00993099999999
PG,-0.267874
PGR,-0.009816
PLD,0.515369
PRU,0.139063
PEG,-0.168373
PSA,3.071833
PHM,-0.119527
PVH,-0.629739
QRVO,-0.880001
QCOM,-0.832223
PWR,0.259998
DGX,0.029854
RRC,0.099929
RTN,-0.656999
O,0.844153
RHT,0.049995
REGN,-6.630005
RF,0.189189
RSG,-0.100003
RAI,-0.059497
RHI,-0.069654
ROK,-0.44777
COL,-0.687479
ROP,-0.049909
ROST,-0.768162
RCL,-0.915454
R,-0.954615
SPGI,-1.066645
CRM,-0.690003
SCG,-0.327104
SLB,-0.248479
SNI,-0.418456
STX,0.147981
SEE,-0.169413
SRE,-0.349999
SHW,-2.383513
SIG,0.309031
SPG,1.673752
SWKS,-1.894273
SLG,2.450005
SJM,-1.084143
SNA,-0.876366
SO,-0.177916
LUV,-0.359375
SWN,0.12
SE,-0.069268
STJ,0.36
SWK,-0.547499
SPLS,-0.13
SBUX,-0.796411
HOT,0.0
STT,0.059997
SRCL,0.18
SYK,-0.709999
STI,0.159305
SYMC,-0.339111
SYF,0.17935
SYY,-0.546699
TROW,-0.277779
TGT,-0.38644
TEL,-0.770004
TGNA,-0.159132
TDC,-0.08
TSO,-1.093198
TXN,-1.172556
TXT,-0.019992
BK,0.039832
CLX,-1.331175
KO,-0.138775
HSY,-0.556807
MOS,0.0
TRV,0.129284
DIS,-0.339997
TMO,-0.379632
TIF,0.02985
TWX,-0.15934
TJX,-0.578
TMK,0.129758
TSS,-0.220001
TSCO,-0.209302
TDG,-0.86
RIG,0.03
TRIP,-0.580002
FOXA,-0.238586
FOX,-0.228618
TSN,-0.468314
USB,0.07
UDR,0.654655
ULTA,-2.399994
UA,0.049999
UNP,-0.735802
UAL,-0.400002
UNH,-0.996286
UPS,-0.337415
URI,-1.119995
UTX,-0.924498
UHS,-0.019988
UNM,0.119478
URBN,-0.300001
VFC,-0.277767
VLO,-0.306782
VAR,-0.459999
VTR,0.780567
VRSN,0.089997
VRSK,-0.529999
VZ,-0.356192
VRTX,-0.770004
VIAB,-0.179177
V,-0.309416
VNO,1.509981
VMC,-2.095671
WMT,-0.138977
WBA,-0.71676
WM,-0.099414
WAT,-0.110001
WFC,0.268179
HCN,1.144791
WDC,-0.480003
WU,-0.109051
WRK,-0.833767
WY,-0.25761
WHR,-1.412047
WFM,-0.248861
WMB,0.128674
WLTW,0.110001
WEC,-0.198202
WYN,-0.347534
WYNN,-0.656659
XEL,-0.238012
XRX,0.006586
XLNX,-0.367905
XL,0.0
XYL,-0.249068
YHOO,0.029999
YUM,-0.298614
ZBH,-0.300003
ZION,0.249547
ZTS,-0.089822
